Date,UserStory,StoryTitle/Description
2026-07-20,US-00143,Apex Class - Price Eval Util
2026-07-20,US-00353,Price fetcher Flow
2026-07-21,US-00412,Add Discount field to Opportunity
2026-07-22,US-00415,Fix validation rule on Contract object
2026-07-22,US-00420,Update Case assignment rules
2026-07-23,US-00431,Refactor AccountService Apex class
2026-07-23,US-00433,Add OWD sharing rule for Case
2026-07-23,US-00440,Bulk data load for renewal dates
2026-07-24,US-00455,Jira sync webhook for User Story status
2026-07-25,US-00461,Copado pipeline stage reorder