Why is the Nvidia Blackwell B200 chip printed in two separate pieces and then joined together?,The overall chip size exceeds the maximum limit of the lithography reticle.
What is the peak performance of an Nvidia B200 GPU in $FP8$ resolution?,$4.5$ petaflops per second.
What is the main memory bandwidth of the Nvidia Blackwell B200 GPU?,$8$ terabytes per second.
How is arithmetic intensity calculated for a specific hardware device?,By dividing the peak compute performance (FLOPS) by the memory bandwidth (bytes per second).
"To keep an Nvidia B200 fully utilized, how many floating point operations must be performed per byte of data fetched?",Approximately $500$ operations per byte.
Which stage of LLM inference is typically compute-bound?,The prefill stage.
Which stage of LLM inference is typically memory-bandwidth bound?,The decode (generation) stage.
"In the context of LLM serving, what is the 'KV cache'?",Stored key and value pairs for previous tokens that prevent re-computing activations during generation.
Why does the decode stage 'starve' the GPU of data during LLM inference?,The model must read all weights and the KV cache just to generate a single new token.
What is the formula for calculating the number of bytes required to store the KV cache per token using 16-bit precision?,$2 \times \text{layers} \times \text{heads} \times \text{head\_dim} \times 2 \text{ bytes}$.
What modification to attention reduces the KV cache size by using only one key and value head for multiple query heads?,Multi-Query Attention (MQA).
Concept: Grouped-Query Attention (GQA),Definition: An optimization that shares a single KV head across a small group of query heads to balance memory and accuracy.
What is the primary factor limiting token generation speed (throughput) during the decode phase?,Memory bandwidth.
How does increasing the batch size ($N$) affect the arithmetic intensity of a matrix multiplication?,It increases arithmetic intensity by allowing the hardware to reuse loaded weights across multiple sequences.
"In a roofline model plot, what does the horizontal 'flat' top represent?",The maximum compute capacity (FLOPS) of the hardware.
"In a roofline model plot, what does the diagonal slope represent?",The memory bandwidth limit of the hardware.
Approximately how much faster is a B200 compared to an RTX 5090 in terms of memory bandwidth?,About $4.5$ times faster.
Why is a consumer GPU like an RTX 5090 significantly less efficient for LLM training than for inference?,"It has a massive $10\times$ gap in compute power compared to enterprise chips, which training heavily requires."
"What annual compound improvement factor is expected for LLM cost reduction due to architecture, training, and design advances?",Approximately $8$ to $10$ times per year.
"Within a standard transformer layer, which sub-component typically accounts for the largest share of total parameters?",The Feed-Forward Network (FFN) block.
What is the purpose of Rotary Position Encodings (RoPE) in modern transformers?,To encode the relative position of tokens within the attention mechanism.
What is the function of the 'causal mask' in transformer attention?,"It ensures that a token only attends to previous tokens in the sequence, not future ones."
What hardware interconnect allows extremely fast communication between a Grace CPU and a Blackwell GPU?,The NVLink-C2C interconnect.
Why do modern LLMs like Qwen or Llama use $FP8$ or $FP4$ numerical formats for inference?,"To reduce the amount of data moved from memory, thereby increasing effective memory bandwidth and throughput."
What is the 'reticle size' in the context of semiconductor manufacturing?,The maximum physical area that a lithography machine can expose in a single step on a wafer.
Term: HBM3e,"Definition: High Bandwidth Memory 3 Extended, a high-performance memory standard used in modern AI accelerators."
What is the primary disadvantage of using very large batch sizes to improve inference throughput?,It requires a proportionally larger amount of memory to store the KV cache for all active sequences.
How does the memory bandwidth of an Apple M4 Max compare to a consumer RTX 5090?,"It is significantly lower (approx. $0.5$ TB/s vs $1.8$ TB/s), though it offers higher total memory capacity."
Which specific architectural strategy uses only a subset of a model's parameters for any given input to reduce compute cost?,Mixture of Experts (MoE).
What is the primary constraint that makes serving models with million-token contexts difficult?,The massive memory footprint required to store the KV cache.
Formula: GEMM Arithmetic Intensity,"$\%frac{2NM}{N+M}$, where $N$ is the batch size and $M$ is the hidden dimension."
Why is low latency critical for LLM 'agents' compared to standard batch processing?,Agents require a quick turnaround to maintain interaction flow and cannot wait for high-latency batch completions.
The technique of using separate hardware specialized for prefill and hardware specialized for decode is known as _____.,Moon Cake
What is the physical reason that memory bandwidth does not scale as quickly as compute power between hardware generations?,"It is limited by the number of pins and wires required, which face severe physical and cost scaling constraints."
How does the arithmetic intensity of the prefill stage compare to the ridgeline of an Nvidia B200?,"It typically sits 'east' of the ridgeline, meaning it is compute-bound and utilizes the GPU's FLOPS well."
"In the prefill stage, how many times must the model weights be read from memory to process the entire prompt?",Once.
"In the decode stage, how many times must the model weights be read from memory to generate one token?",Once.
What is the bandwidth speed of a single Nvidia NVLink in the Blackwell architecture?,$100$ GB per second.
How many NVLinks are present on an Nvidia Blackwell B200 chip?,$18$ links.
Why does a 5090 GPU outperform an Apple M3 Ultra in LLM generation speed despite having less total memory?,The 5090 has significantly higher memory bandwidth ($1.8$ TB/s vs $0.8$ TB/s).
What numerical format provides a $2\times$ performance boost over $FP16$ on the B200 architecture?,$FP8$ resolution.
What component of the transformer architecture ensures the algorithm doesn't diverge by restricting activations onto a manifold?,"Normalization layers (e.g., LayerNorm or RMSNorm)."
Which part of the transformer architecture handles the interaction between different tokens in a sequence?,The attention mechanism.
"If a B200 has $8$ TB/s bandwidth and performs $16$ Gigaflops to generate a token, what is the approximate operations per byte ratio?",Less than one floating point operation per byte ($< 1$ ops/byte).
What is the primary purpose of 'speculative decoding'?,To accelerate token generation by predicting multiple future tokens and verifying them in parallel.
What memory technology is commonly used in both the Nvidia DGX Spark (GBA10) and Apple Silicon for large-capacity unified memory?,LPDDR (Low Power DDR).
"For a model like Qwen 8B, what is the approximate size of the KV cache per token in $FP16$?",Approximately $150$ kilobytes.
Under what condition does a model's KV cache become a larger memory consumer than the model weights themselves?,"When processing very long context windows (e.g., $100k+$ tokens) or using very large batch sizes."
"What is the approximate token generation speed of a modern smartphone (e.g., iPhone) for a 4-bit quantized 8B model?",About $17$ tokens per second.
What is the main bottleneck for LLM inference on a local laptop with 32GB of RAM?,Memory capacity (the model weights and KV cache may not fit).
How does the peak compute of an RTX 5090 compare to a B200 in $FP8$?,The 5090 is about $10\times$ slower ($0.4$ Petaflops vs $4.5$ Petaflops).
What is the relationship between 'flops per byte' and the 'ridgeline' in hardware analysis?,The ridgeline is the specific ratio where the hardware transitions from being memory-bound to compute-bound.
Which transformer component is specifically responsible for mapping token IDs to vectors?,The embedding layer.
Why does the FFN block in a transformer typically consist of three matrix multiplications?,"It uses two matrices for the gated activation (e.g., SwiGLU) and one for the projection back to the hidden dimension."
What happens to the total flops of the attention score calculation as the context window increases?,They grow quadratically with the sequence length.