What is Eric Xing's definition of 'Book Intelligence'?,Intelligence that operates solely in the space of language and lacks embodied or physical knowledge.
"According to Eric Xing, why are current Large Language Models (LLMs) insufficient for physical reasoning?",They lack the knowledge of space and time required to interact with the physical universe.
What is the primary function of a 'World Model' in artificial intelligence?,"To act as a simulator of real and imaginary worlds for reasoning, planning, and thought experiments."
What supernatural capability of the 'Dune' character Paul Atreides does Eric Xing use to illustrate the goal of super-intelligence?,The ability to simulate the outcomes of all possible plans before executing them.
"In an optimal agentic system, what does the agent maximize to achieve a goal?",The cumulative reward function.
Why is a world model considered a 'surrogate' for the universe in AI training?,"It allows agents to obtain capabilities through simulation without needing direct, dangerous, or impossible access to the real environment."
How does reasoning by simulation differ from traditional inductive reasoning in AI?,It involves looking ahead at multiple generated trajectories to find the one that reaches the goal at the lowest cost.
"According to Eric Xing, what is the 'information density' advantage of text over pixels?",Text is a dense human embedding of the world that captures abstract concepts like 'justice' which are hard to extract from video.
What is the 'JEPA' (Joint Embedding Predictive Architecture) school's preference for state representation?,Continuous latent representations because they are gradient-friendly and computationally efficient.
What is the primary drawback of purely continuous latent representations mentioned by Xing?,"They can be highly variable and 'stateless,' making it difficult to extract stable semantic meanings."
Architecture: JEPA,Definition: An encoder-only architecture that predicts the next latent state from the previous one without reconstructing pixels.
Architecture: GLP (Generative Latent Prediction),Definition: A closed-loop encoder-decoder architecture where the prediction is validated through reconstruction of the original observation space.
What is the 'collapse' problem in latent-only prediction models?,"The risk that the encoder learns to output a constant value, making any prediction trivial but useless."
"In the GLP architecture, what serves as the mathematical upper bound for the latent loss?",The generative (reconstruction) loss.
Model Predictive Control (MPC) involves solving a bounded _____ problem during inference.,Optimization
What is the 'System 1' vs. 'System 2' distinction in AI reasoning?,"System 1 is fast, reactive, and policy-based; System 2 is slow, deliberative, and model-based planning."
What is the function of the 'Configurator' in Eric Xing's proposed 'System 3' architecture?,To deliberately choose when to use cheap System 1 reactions versus expensive System 2 planning.
What does Yann LeCun argue is the primary reason world models must be non-generative?,The world is full of unpredictable details (entropy) that are irrelevant for high-level planning.
Yann LeCun uses the analogy of gas in a box to explain _____.,Abstraction (predicting high-level variables like pressure rather than individual molecule positions).
Why does LeCun believe predicting pixels for long-term planning is 'killing' AI models?,"It forces the model to waste resources on unpredictable noise, such as the random movement of leaves on a tree."
"In the context of JEPA, what does the 'VICReg' or 'SIGReg' term do?",It regularizes the encoder to prevent collapse by maximizing the information content of the representations.
Concept: Hierarchical Planning,Definition: Decomposing a complex goal into high-level abstract steps before working down to low-level motor controls.
"Why does LeCun argue that JEPA is a feature, not a bug, regarding its 'partial' representation of reality?",Ignoring unpredictable details is the only way to successfully model complex systems like the weather or chemistry.
What is 'Model-Free' RL (System 1) compared to 'Model-Based' RL (System 2)?,Model-free is a direct mapping of state to action; Model-based uses a simulator to predict future states before acting.
How much text data is estimated to be available publicly on the web compared to visual data?,"Approximately $10^{14}$ bytes of text, which is vastly outweighed by the virtually unlimited supply of video data."
Why does Eric Xing advocate for a 'mixed' representation of latent states (continuous and symbolic)?,"To leverage both the fluid numerical nature of sensory data and the discrete, semantic stability of human language/tokens."
What specific metric does Eric Xing propose for evaluating world models beyond image quality?,Long-horizon consistency (the ability to maintain a stable world state over many steps).
The ability to generate a video 10 times faster than its playback speed is a result of _____.,Computational innovations like diffusion distillation and sparse attention.
"In the GLP framework, what is the role of the 'Decoder' beyond just making pretty pictures?",It acts as a 'validator' to ensure the latent reasoning remains grounded in reality (closing the loop).
How does 'Agency' differ from simple 'Automation' in AI according to Xing?,"Agency requires self-awareness, goal recognition, and the ability to self-regulate or reflect."
Yann LeCun argues that humans learn world models primarily through _____.,Passive observation and interaction during the first few years of life.
What is the 'identifiability' issue in world modeling?,"The difficulty of ensuring that the internal latent states of a model consistently correspond to specific, meaningful world concepts."
"In the 'Pan' model, what allows the simulator to branch into different possibilities?",Action prompts or instructions that steer the model toward different next-state predictions.
Why does LeCun mention that a teenager can learn to drive in 20 hours while AI cannot?,The teenager uses a world model to predict consequences (like falling off a cliff) without needing to experience the disaster.
What is the difference between an 'Open List' and 'Closed List' of world model capabilities?,A closed list focuses on fixed tasks (like playing Go); an open list involves generalizing to unseen scenarios and environments.
Term: Thought Experiment,"Definition: A mental process of simulating a scenario to solve a problem, which Eric Xing identifies as the human version of reasoning by simulation."
"According to LeCun, what is 'Entropy' in the context of video prediction?",The inherent uncertainty or noise in a scene that makes pixel-perfect prediction of the future impossible.
What does Xing mean by 'Super World Model'?,A model that incorporates not just physical laws but also the collective behaviors and social interactions of multiple agents.
How does the 'SLAM' agent model achieve performance comparable to much larger models?,By using a self-regulatory 'System 3' that employs a cost-effective planner.
LeCun asserts that every level of the hierarchy of reality (from quarks to societies) is essentially a _____.,Different field of science defined by its level of abstraction.
What is the 'Missionary' vs 'Monastery' analogy used by Eric Xing?,JEPA is like a monk in a monastery (pure mental meditation); GLP is like a missionary in the field (constant real-world interaction and validation).
Why is 'Zero-Shot' learning a benchmark for true intelligence according to LeCun?,It measures an agent's ability to handle a completely new situation using its pre-existing internal model of the world.
"In Eric Xing's world model hierarchy, what level of intelligence follows 'Social Intelligence'?",Philosophical Intelligence (driven by curiosity and the ability to ask the right questions).
What is the 'Deterministic' vs 'Probabilistic' issue in generative world models?,"Generative models struggle to represent the full distribution of all possible futures, often 'averaging' them into a blurry result."
"According to Xing, what type of data allows for the 'natural interface' of interaction between humans and AI?",Language (text) data.
What is a 'Stateful' simulation in the context of the Pan world model?,"A simulation that remembers the history of actions and states, allowing for long-horizon consistency."
Why does LeCun argue against AGI as a term?,He believes human intelligence is not truly 'general' and that 'human-level AI' is a more accurate target.
What is the role of 'Diffusion Distillation' in modern world models?,"To speed up the generation process, making real-time interactive simulation computationally viable."
"According to Xing, the 'ultimate' goal of an agent is to simulate outcomes before _____.",Execution
What does LeCun claim is the problem with 'energy-based models' in high dimensions?,The normalization of probability distributions becomes computationally intractable.
Why does Xing believe 'causation' is better captured in his world model?,Because the model generates a 'chain of thoughts' or events that explicitly link actions to outcomes.
"In the context of autonomous driving, why are world models better than real data for training?",They can simulate 'rare accidents' that are hard to find in real-world driving footage.
LeCun's argument against 'Book Intelligence' is that most knowledge for survival is _____.,Non-linguistic and learned through visual observation of the physical world.
What is the 'Turning Trap' mentioned in the discussion?,The tendency to focus on mimicking human-like generation (sensation) rather than focusing on purpose and utility.
"According to LeCun, what is the 'Newtonian' genius of representation?",Identifying the few relevant variables (like position and velocity) needed to make accurate long-term predictions while ignoring the rest.